IPI,brain TSCs (Not Phosphorylated),brownfat TSCs (Not Phosphorylated),heart TSCs (Not Phosphorylated),kidney TSCs (Not Phosphorylated),liver TSCs (Not Phosphorylated),lung TSCs (Not Phosphorylated),pancreas TSCs (Not Phosphorylated),spleen TSCs (Not Phosphorylated),testis TSCs (Not Phosphorylated),normalized_brain_TSC,normalized_brownfat_TSC,normalized_heart_TSC,normalized_kidney_TSC,normalized_liver_TSC,normalized_lung_TSC,normalized_pancreas_TSC,normalized_spleen_TSC,normalized_testis_TSC,CV
IPI00121271,10,4,3,36,41,9,30,11,7,66225.16556291391,26490.066225165563,19867.549668874173,238410.59602649006,271523.178807947,59602.649006622516,198675.4966887417,72847.68211920529,46357.615894039736,87.38
IPI00120915,12,8,6,8,14,11,10,11,19,121212.12121212122,80808.08080808082,60606.06060606061,80808.08080808082,141414.1414141414,111111.11111111111,101010.101010101,111111.11111111111,191919.19191919192,34.91
IPI00272521,5,1,7,3,5,4,1,8,8,119047.61904761904,23809.52380952381,166666.66666666666,71428.57142857142,119047.61904761904,95238.09523809524,23809.52380952381,190476.19047619047,190476.19047619047,57.7
IPI00652882,32,1,2,12,1,6,5,8,8,426666.6666666667,13333.333333333334,26666.666666666668,160000.0,13333.333333333334,80000.0,66666.66666666667,106666.66666666667,106666.66666666667,115.26
IPI00651954,13,4,8,16,30,2,1,6,5,152941.17647058825,47058.82352941176,94117.64705882352,188235.29411764705,352941.17647058825,23529.41176470588,11764.70588235294,70588.23529411765,58823.529411764706,96.77
IPI00153381,3,8,11,8,6,3,2,2,7,60000.0,160000.0,220000.0,160000.0,120000.0,60000.0,40000.0,40000.0,140000.0,57.71
IPI00309077,22,1,2,1,5,5,3,9,6,407407.40740740736,18518.51851851852,37037.03703703704,18518.51851851852,92592.59259259258,92592.59259259258,55555.555555555555,166666.66666666666,111111.11111111111,108.97
IPI00225796,5,1,5,1,2,3,6,6,1,166666.66666666666,33333.333333333336,166666.66666666666,33333.333333333336,66666.66666666667,100000.0,200000.0,200000.0,33333.333333333336,65.38
IPI00124501,16,6,4,6,8,11,8,9,3,225352.11267605633,84507.04225352113,56338.028169014084,84507.04225352113,112676.05633802817,154929.57746478872,112676.05633802817,126760.56338028169,42253.52112676056,49.68
IPI00347394,35,158,128,119,104,29,43,54,48,48746.51810584958,220055.7103064067,178272.98050139277,165738.16155988857,144846.7966573816,40389.9721448468,59888.579387186626,75208.91364902507,66852.36768802229,59.75
IPI00652710,9,45,32,42,21,4,9,5,5,52325.58139534884,261627.9069767442,186046.51162790696,244186.0465116279,122093.02325581395,23255.81395348837,52325.58139534884,29069.767441860466,29069.767441860466,86.67
IPI00850133,24,184,165,225,85,14,47,11,19,31007.751937984496,237726.09819121446,213178.2945736434,290697.67441860464,109819.12144702842,18087.85529715762,60723.51421188631,14211.886304909562,24547.80361757106,97.14
IPI00471080,1,18,20,7,30,26,2,14,9,7874.015748031496,141732.28346456692,157480.3149606299,55118.11023622047,236220.47244094487,204724.4094488189,15748.031496062991,110236.22047244094,70866.14173228346,72.57
IPI00459652,5,4,1,7,5,8,1,30,21,60975.60975609756,48780.48780487805,12195.121951219513,85365.8536585366,60975.60975609756,97560.9756097561,12195.121951219513,365853.65853658534,256097.56097560975,108.02
