Protein ID,Brain,Heart,Intestine,Kidney,Liver,Lung,Pancreas,PerirenalFat,Spleen,Stomach,Testicle,Thymus,CV
IPI00108774.1,1266400.0,637440.0,1177100.0,1181200.0,14135000.0,808630.0,2916200.0,15792000.0,3702100.0,2564300.0,3209400.0,794210.0,130.25
IPI00109033.3,3933800.0,13416000.0,4829400.0,6274700.0,8847100.0,4723900.0,3764100.0,5098300.0,2516200.0,941110.0,2987000.0,2396000.0,67.32
IPI00110716.1,3210400.0,2382200.0,6578900.0,5706100.0,7231200.0,6882700.0,2453400.0,3332500.0,7840900.0,6300500.0,17038000.0,14610000.0,65.89
IPI00110724.2,1042900.0,14986000.0,15783000.0,6492500.0,3462200.0,5302300.0,114150000.0,629140.0,3902200.0,24718000.0,1914900.0,4315400.0,193.03
IPI00112101.1,3139600.0,579740.0,2005700.0,2577400.0,2891200.0,1564700.0,1622200.0,897820.0,3991500.0,1468100.0,2526900.0,4794900.0,53.09
IPI00112203.2,862110.0,805280.0,1767100.0,2480100.0,1309200.0,2719100.0,290850.0,736690.0,3195600.0,313870.0,314790.0,9443200.0,125.81
IPI00112639.3,8641200.0,1317500.0,5191400.0,5057400.0,8756200.0,4540000.0,1743200.0,3760000.0,3492600.0,6178500.0,2103100.0,3266500.0,54.15
IPI00113362.2,410390.0,1929900.0,608740.0,1229100.0,332220.0,752540.0,2259600.0,275980.0,607570.0,2622500.0,52764.0,262290.0,91.49
IPI00113655.1,4403000.0,29316000.0,54348000.0,21544000.0,41139000.0,5378800.0,161820000.0,18695000.0,8375300.0,22051000.0,715470.0,15499000.0,137.15
IPI00114232.1,2593500.0,2157700.0,5241900.0,1252100.0,6042300.0,6274600.0,993260.0,1549200.0,10540000.0,74567000.0,19428000.0,18657000.0,165.42
IPI00114368.3,3059500.0,896470.0,1964000.0,1639300.0,35935000.0,6410900.0,775430.0,4588300.0,4141900.0,4603800.0,457740.0,4858000.0,167.68
